State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
KS,67809,48591,58125,58226,69883,74379,69651,75334,88381,100130,103533,109580,118643,111689,112623,121110,130025,128140,146018,143230,142493,137349,142143,145469,154197,154528,151507,153723,163291,165895,174055,182765,174119,181085,180718,183813,198894,190416,192933,187903,200648,197098,203613,203019,204159,201306,201889,213137,216866,211800,215958,216339,208036,210306,214598,218880,217087,213230
KY,51873,58042,59848,62313,56202,59849,61616,76574,85455,95272,99974,100610,106007,115277,120634,129343,155669,162997,162386,162710,164942,153803,153643,163213,163353,159126,160376,160540,173888,181100,172697,184778,182858,188345,193544,201611,205551,220963,220530,236401,245380,243262,259184,252672,258069,265004,257776,274054,271128,257565,263991,253109,252056,284459,264088,265076,270206,257046
LA,69509,79458,76832,84977,91695,92231,100735,134156,150363,161215,186756,191243,202516,212894,218018,187075,195246,227369,258707,359780,282764,313706,306793,220516,231309,239223,234013,217857,217051,223510,229213,226416,226090,229446,236958,239767,245418,252157,265996,267483,290847,267757,277330,269378,275702,280911,265047,284976,270160,276968,281885,280565,277045,269129,268267,270292,265999,269363
MA,191615,195589,204942,194361,205430,239722,246098,273648,280799,286135,302862,310537,321462,336192,309717,308322,326840,323324,323001,277463,280411,256457,278874,255656,273121,279509,298725,304423,324641,351892,349082,353143,357718,348504,368903,372735,380215,385439,377696,358921,374722,368648,373605,384541,380689,373059,349987,367187,360354,272430,288715,278165,271767,303283,397975,404149,394273,401606
MD,74081,72883,75120,80255,86348,91948,99147,107167,113270,122801,131968,145476,153041,161124,153564,154764,163691,161384,162559,171938,164899,155261,160564,171613,160317,152717,158795,176099,175452,174177,175818,189675,197958,205003,230198,345931,343262,342432,362448,368748,383075,385401,332298,283563,286896,292222,417281,431954,427817,422585,431254,428190,419428,426151,426006,428556,422310,407022
ME,16910,18534,18883,19996,20104,20412,20020,20375,21249,23278,25367,28687,30730,30841,29982,32506,37363,39285,38270,34910,38009,36081,37103,38974,45677,43250,51375,48240,59758,62426,63209,62692,60241,62460,58515,51732,58177,59193,59439,58007,66297,59592,60521,69942,70643,68143,66461,70819,71280,63927,63311,63417,61281,58735,63256,67780,62878,65554
MI,176606,180994,208743,214547,221947,242444,262147,275078,295250,316891,327914,352976,378323,409503,413213,394068,400717,358539,372225,402905,420888,395428,392429,387325,396642,394856,383345,430697,430595,460049,460580,453849,458868,542041,543997,572361,599703,597541,590554,612162,632486,605162,622022,612033,642558,652058,623385,642946,633422,601685,593606,610380,581142,600680,624556,600388,595392,598783
MN,64497,68750,82900,85418,66461,72946,86737,114938,121374,131588,138424,141332,148695,149532,159948,167111,161060,150187,166112,144776,144825,150721,166467,172840,185444,186172,174021,166909,190199,197674,202227,202545,193909,198526,203266,218823,231137,227162,215444,225710,236415,321409,337025,359769,340812,345038,341076,349441,357405,347165,340235,341435,332892,357962,369255,350685,349594,357010
MO,113149,109991,115008,114865,122370,122580,149203,168026,172972,177303,189500,193972,205649,204671,201231,204909,254570,256749,268484,267899,245863,225614,234386,239305,251287,249698,258226,270839,285660,292982,294344,307997,302078,329605,327939,340431,360514,362022,363265,372805,388492,392375,389722,387115,394224,405390,400257,416269,426549,411409,420010,413610,397586,411312,428847,414623,412159,403161
MS,34724,37600,41424,44028,46957,39878,45246,48336,53810,56921,66837,71898,76822,81515,84647,83005,84023,89228,94705,124185,105796,107782,90530,95814,91223,93753,93446,95281,96539,106385,111518,111898,111581,110608,116550,123772,130279,152347,161563,167379,173849,156415,168715,174530,170498,162248,165070,174559,166353,159299,164992,164068,149415,160252,162109,157667,153673,152871
MT,26308,26864,27109,27939,30333,29490,29394,31496,30178,33728,37236,38061,40329,40938,38568,44220,44430,43926,47092,47330,42226,42341,45570,51066,75805,68826,65592,46674,49723,51351,51495,52828,51744,55283,55840,54259,57689,56507,55074,51019,61789,62252,64854,68705,67778,69664,72110,70611,72941,79668,74753,78153,75071,76914,78267,76458,78288,81186
NC,58375,59798,66372,69327,74889,90207,102228,116935,132531,147823,158118,173646,182672,195818,188594,179309,185788,194269,201901,205101,217053,225056,223699,241607,268731,273407,286421,306489,323573,339922,346355,352873,362168,382136,392122,410558,434658,431219,456687,471292,501476,505689,517727,530280,554308,563277,561525,589224,599751,596001,611262,578514,568079,556187,572879,579329,581183,566561
ND,12477,12872,13890,14105,13969,16641,19853,18539,19324,20016,21483,21434,23387,24322,28836,28746,28657,27438,32191,33069,33361,29242,32736,31520,35327,37488,34547,31365,33627,35548,38515,40203,37181,38352,39898,43981,47114,46423,45155,45481,48509,55254,59653,57930,58883,59340,58232,62845,65793,65382,66247,73134,73710,85268,82840,85931,85210,87925
NE,42139,43500,44997,46404,49246,52250,57128,68674,76091,88768,93347,96636,95123,89898,92124,89618,98472,98059,92176,95263,92688,94527,99920,100815,111971,108441,102898,101975,111526,112772,112648,118724,110467,111829,123463,126756,129570,128643,123143,120469,132246,130437,132917,127904,129690,130537,133109,140627,145814,138867,141115,135792,131838,140427,141582,137058,134497,135198
NH,8413,9174,9915,10452,10476,10429,10650,12152,12708,14260,15692,17107,18247,18634,18033,18114,19521,19875,21216,19897,26850,25273,27273,25823,27766,29049,35158,41268,41333,43514,45168,43349,42232,42980,56777,55101,57338,57535,55734,58720,65677,66056,68875,72261,73514,75741,68276,69762,68333,67673,66148,66407,66157,70501,71056,72019,70602,70080
NJ,167562,189849,202559,205877,213654,213596,238808,267468,278710,290320,327501,332374,349063,362517,338490,323436,390336,349795,345756,357011,383295,362345,358322,359471,382335,380852,412196,426566,457461,492495,496629,503694,503818,508336,525772,523100,541421,550545,535953,579917,575790,552055,576085,604837,632899,650870,617496,652547,639930,633613,632895,635590,607033,609627,631418,596251,567539,559475
NM,23378,25756,29177,28055,32602,33288,36662,52742,57726,58052,64518,67795,69393,64444,64692,59072,73378,67200,67394,68803,71819,67666,68971,78449,82851,75471,79639,82615,95580,98536,94834,95302,98563,101025,98766,100119,106532,106599,110319,113486,122250,123569,127832,121450,123002,123858,122535,127619,126771,120497,123550,126817,125812,126219,125903,125176,123849,122088
NV,10685,11524,12808,14936,17667,19580,23206,26690,29293,32830,37559,40992,45382,47503,49071,51327,51105,49922,56169,45833,34488,35470,32659,38555,53263,54731,54735,59663,62973,68532,71884,74992,76106,82384,89522,89510,98927,98217,99919,104847,107400,106539,110875,113344,116046,118547,125012,124368,122569,115458,117562,119870,118103,121698,120758,124431,128369,142278
NY,567658,546430,566473,644474,636930,733465,800801,860998,877523,898776,935147,934756,952308,975036,908274,877111,940768,939128,947194,851084,896352,836943,879866,840513,923659,927419,987477,984879,1031037,1058702,1061023,1051136,1069837,1082519,1066480,1105234,1135449,1217509,1215736,1300503,1327626,1299520,1323663,1352538,1410470,1312479,1220215,1223811,1237828,1198744,1213555,1183095,1101404,1131321,1137388,1141606,1116471,1117153
OH,261835,263042,278435,282031,284360,301687,320627,341175,364390,398546,425269,442655,478567,485888,492863,454769,480529,466562,490549,464604,468713,486899,488749,493062,525363,510216,530017,547335,580778,599331,571231,596685,594890,616326,627344,652817,674822,674300,652086,677946,705432,673033,672106,695051,708662,712840,674406,722502,723429,698823,708566,711185,675585,694444,712983,709510,700469,682277
OK,60170,53730,57530,63412,67509,70516,74125,85322,94036,97444,105419,107161,117643,117580,120726,130396,137486,148674,151861,154909,157335,169454,182636,188052,179726,180794,171117,166396,189926,181903,197875,186714,177707,188437,188388,191389,205669,214636,218760,212709,227759,230904,228166,224176,225402,227558,229486,243187,245262,240539,247728,247487,244286,258113,265912,257724,251589,249882
OR,58076,59600,64089,69656,77697,79316,84656,88793,93708,103680,110791,119957,130598,131793,129491,134146,130584,133036,140708,149377,156254,134001,139739,133644,143841,147164,143965,147206,155738,164553,167677,171257,169810,176010,180566,183119,184847,190292,191697,201158,206238,198730,195814,193562,183441,190644,199305,195668,197639,193167,184981,195585,188001,191213,190038,185071,190098,201997
PA,306807,301125,302233,306005,309851,320341,329059,330771,344835,358896,378831,401602,420647,430571,399829,412388,452672,452453,460864,443715,451406,468318,464575,463908,489980,468133,485413,499380,524860,563256,540095,554489,570133,581261,612185,627950,645188,627897,617822,631082,700528,657769,693274,696751,702174,715071,687573,721017,715231,682685,685045,639055,610058,638850,654545,659057,640392,631271
RI,22720,21435,23195,22872,22992,20620,20265,27106,28983,32303,35364,37704,39648,40000,35502,34769,36625,37356,38060,37299,34175,32351,33562,35690,38132,39204,45187,45883,46379,47498,49504,45929,42169,42982,46845,45658,46606,44924,41864,46049,47794,48568,48882,53953,53546,50588,48017,49708,46094,46283,45791,43930,44056,49370,51615,49527,46828,44591
SC,39110,39705,45002,46411,49171,46216,48824,54379,61602,68404,75104,80083,85747,95981,94440,112195,136627,139559,135829,124378,135444,124972,129768,136453,132717,137298,146065,151667,158791,165706,168090,171235,175235,186529,187563,197771,204455,206389,227444,232237,236854,233922,236012,243326,253230,255404,260881,269539,271499,262516,274756,261752,259058,259465,268163,275551,279244,273815
SD,15683,16690,17570,17499,18739,19537,21088,22552,23666,24725,26197,25809,27862,27309,28677,26537,29744,29323,29764,26916,25456,25412,26785,26369,32477,34166,30527,30636,31614,32961,34121,35559,34525,36729,39694,41714,44366,41678,41951,41143,45128,51187,53458,55001,54058,58013,57579,61331,62848,62485,62990,62362,59045,65147,64416,63246,62356,63242
TN,72122,80291,89430,82368,86529,91258,99317,106189,117244,126692,132601,140892,149237,156187,153968,145341,147682,174093,206824,219256,225280,233266,235815,256819,185584,182642,167366,171938,179768,206732,207242,209161,147890,135610,134476,135818,148974,355567,354938,362544,370115,368004,367100,373245,380186,383190,383823,399722,396114,376167,399975,386872,361540,428435,435238,448326,452843,432718
TX,200810,207454,224320,247229,265986,279819,307829,377166,402952,434033,462562,482987,521818,565077,552283,566669,598536,663788,714020,816804,760474,788510,819201,892760,878613,894167,877016,902688,946520,993361,1007209,1023237,1023462,1044494,1086791,1156275,1150162,1205821,1236683,1275248,1368447,1334001,1348402,1307692,1286666,1396487,1336366,1338044,1384947,1442515,1478907,1555071,1555093,1610242,1640247,1589588,1606147,1600525
UT,28943,31742,35949,36706,39697,41222,35090,38209,40509,44574,43437,47670,48209,53424,55855,53486,65384,61853,62804,56799,55099,41097,64871,58401,68298,70326,66601,77939,83839,84851,82340,89673,87248,92565,100387,102806,108463,116247,117012,124231,131792,137314,145311,135601,141577,146696,144690,145632,148065,148611,152558,157712,154797,163527,157655,162162,164050,170497
VA,80925,84410,90128,96353,101483,109781,123489,134716,148996,162189,178524,193349,204561,226577,225313,217878,234606,241044,254250,249241,256741,261803,272553,289376,301257,307150,331824,351586,363092,393414,400064,412049,425937,449517,448066,471939,493947,490431,503942,520836,548946,543181,556599,565273,589701,609617,600018,632557,630167,617974,632188,607351,590689,611981,616786,615148,611564,612279
VT,8729,8890,9584,9813,8765,11210,12178,12177,12689,14218,15995,16702,18029,18060,16050,16350,18924,18556,18771,17087,17863,16181,16054,15747,16492,18141,18725,24096,25441,27030,22964,23992,25087,24085,24115,22208,24075,24893,26131,23663,27466,28490,29820,30400,31390,30018,29113,29426,28567,29273,28960,29071,23164,25849,26947,27659,26200,24642
WA,64606,65564,68676,71428,79210,80494,88347,92887,101012,109998,117211,125507,155667,170696,167572,167707,175016,176474,185687,199504,208353,248191,264529,262655,264369,286614,260643,269687,290043,292854,296636,299729,291207,313139,309963,323018,330584,329992,337514,355795,376754,390162,363183,367616,373063,364193,382025,384635,398411,393599,382604,386416,374824,382722,376933,368730,364791,378496
WI,90106,95579,101193,98362,98641,108746,119820,125943,133416,153707,156324,155991,152430,173503,184600,188148,186740,192850,213344,218798,207749,195236,199369,213546,248673,233238,208720,209633,227512,240172,241674,252150,248662,259534,265083,279505,296876,295711,291914,313623,323162,322382,341566,340172,329102,385208,363248,374285,385999,359533,354599,356773,342414,373043,381673,363419,361649,365460
WV,33188,34251,37703,38627,36889,38343,41754,46805,51753,54302,51732,56209,62951,64805,66871,64865,62291,65137,69316,72645,70977,79121,76809,78674,78172,76745,77865,78419,86260,91325,83197,84042,86172,89002,89518,92901,95568,93825,96505,102026,106235,104733,102689,104707,104928,107948,105582,108905,110097,111509,113693,111580,109873,112299,112858,113304,112094,107541
WY,9251,11333,12326,12481,14189,16844,19769,22092,23379,25947,25336,26242,30250,26571,27539,22061,22088,24512,25369,27530,24203,25141,34660,33253,37558,40884,39160,37934,39162,39153,39893,42144,40466,45089,44286,42811,47755,44233,45332,45188,48719,51013,51170,52419,53469,55571,60029,61546,64017,62330,63533,67476,63899,63041,62483,62835,61078,60192
US,4604662,4723224,5032369,5244424,5460190,5840164,6318543,6895401,7326545,7828079,8326390,8701185,9188250,9553316,9391102,9488789,10065628,10205708,10515327,10650170,10575836,10614571,10839692,10923499,11416762,11455535,11591178,11920679,12580687,13186033,13318979,13503040,13445036,13824550,14086177,14689020,15176471,15692568,15984276,16395748,17169863,17136835,17342104,17335449,17647900,17820329,17671144,18209675,18351583,17853332,18016267,17939159,17363649,17878583,18207708,18110389,17986522,17864172
