State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
IL,2523973,2558990,2656186,2719427,2849301,3026466,3185513,3315076,3450826,3634712,3696737,3722756,3929667,4019481,3956458,3860591,4019369,4099481,4199421,4049381,3768260,3547208,3394044,3472747,3502000,3434273,3416921,3472023,3702319,3619229,3580209,3644007,3622832,3725970,3743317,3853196,3938643,3913819,3826133,3995268,4013834,3883570,3898881,3925611,3972309,4117081,3967074,4073291,4077423,3859018,3955815,3938310,3818052,3974919,4045608,3892959,3896291,3871546
IN,1530437,1551091,1580987,1635028,1714801,1798393,1919366,1952042,2043409,2157093,2219775,2236217,2435885,2474472,2432022,2377767,2410240,2485596,2535537,2585762,2400197,2359274,2177454,2197757,2271002,2301292,2262531,2380691,2484357,2517053,2491803,2474327,2460079,2566565,2551217,2617303,2702114,2681048,2670826,2784972,2866319,2770152,2855195,2936543,2928999,2954463,2891926,2956935,2916022,2712732,2866383,2849969,2770593,2895980,2933541,2850415,2797737,2700478
KS,631316,618147,639460,641033,657075,723629,763521,722888,793842,839336,874267,908254,961171,966322,959652,924911,972467,981082,1037084,1132093,1022129,947309,944960,917190,1016638,1011726,974201,1015692,1069693,1042967,1064807,1059621,1046235,1074697,1100185,1064806,1094623,1083879,1072206,1090691,1097996,1047404,1083100,1123206,1103952,1049477,1077557,1156711,1113937,1088191,1116268,1103566,1073583,1102551,1134920,1104548,1090817,1073232
KY,823236,818917,836442,888319,890219,899590,905831,953994,1014155,1073330,1104720,1117666,1203074,1236974,1228332,1278425,1400423,1414018,1400112,1432637,1367982,1297313,1262083,1276623,1375310,1329732,1304571,1341279,1419083,1509038,1462349,1486558,1548516,1587070,1634592,1703188,1721367,1729804,1688062,1774843,1765988,1796300,1947606,1881793,1955739,1982416,1972905,2042882,2007247,1929419,1992796,1919082,1879922,1823592,1772796,1729083,1703559,1658207
LA,1502163,1564830,1580187,1747248,1866221,1832996,1973892,2236542,2422111,2701453,2836864,2897554,3083286,3317510,3408243,3107626,3535790,3936486,4095231,4044770,3909016,3962025,3637501,3431465,3575817,3340207,3500802,3564236,3601826,3759315,3853208,3841451,3960443,4027617,4162529,4202218,4381101,4491357,4222082,4218619,4537417,4005733,4140006,3984517,4187227,4027364,4230829,4285419,4227032,4035422,4258967,4259602,4123205,4056895,4087136,4094109,4199207,4481816
MA,1054127,1079950,1111915,1083270,1119625,1245258,1247984,1326492,1373613,1402415,1464384,1493798,1546466,1581551,1475055,1420313,1499176,1486580,1471615,1308451,1246693,1215717,1234902,1231961,1292240,1313664,1383264,1404906,1427362,1459706,1406735,1365807,1432260,1435468,1439775,1423819,1449314,1442673,1422363,1469085,1520958,1516969,1532886,1497920,1497446,1491182,1419728,1457967,1435846,1375551,1419173,1400310,1364040,1428265,1433812,1449205,1421131,1424156
MD,697260,699934,748394,775284,823757,859906,900300,915531,968996,1023972,1067972,1104522,1122760,1214593,1123057,1069386,1148110,1129827,1154687,1219177,1156510,1140938,1102129,1120386,1192374,1160048,1182435,1249115,1288359,1320439,1268899,1265252,1253052,1300726,1308886,1325478,1364479,1362168,1365626,1403954,1442911,1433507,1518868,1568832,1551347,1579051,1470967,1505828,1466627,1455349,1467051,1411381,1368473,1393684,1398843,1395939,1355778,1314739
ME,232332,244897,237907,241423,242725,232176,244258,256811,271194,288283,302380,353571,380418,378940,354413,324651,380599,396866,384636,363580,381550,380501,426436,391587,418276,423461,444354,433183,484767,478996,457234,460089,480096,484742,485845,466077,481292,482984,453483,454170,490040,444967,446209,450107,461995,458727,450725,450244,455297,413083,421949,420743,404426,415649,416968,426202,395490,392002
MI,1851644,1876674,1985156,2072621,2140394,2278302,2430278,2490875,2627315,2734264,2702538,2798196,2970324,3060405,2916310,2865742,2983999,2873174,2942354,2923445,2824417,2673062,2525049,2521430,2597220,2634458,2651892,2639558,2812015,2845535,2873329,2806614,2854945,2851029,2871612,2997508,3098656,3098949,3036610,3201410,3200039,3082678,3138618,3178592,3142544,3194370,3025532,3021652,2914767,2690182,2751881,2786791,2687014,2836290,2882460,2792606,2769536,2774512
MN,723031,728237,766680,775637,816048,865284,922187,929413,991475,1081915,1107892,1148516,1209799,1257708,1237566,1246041,1293627,1257346,1350594,1350455,1224226,1176563,1187287,1190390,1251746,1258254,1245900,1251390,1355217,1392696,1400741,1427437,1441091,1487515,1523934,1608278,1679242,1648802,1625618,1698834,1749574,1721114,1785370,1864039,1864114,1858173,1831733,1894098,1911161,1786038,1863087,1856922,1826064,1867763,1923292,1789990,1811223,1832262
