State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
KS,172858,178233,176565,193960,178331,197148,209458,214514,228465,236882,250710,256558,273146,269163,271331,269148,273595,268827,286644,288878,279218,266030,255159,246221,257072,268172,273068,278352,294398,285614,280304,260471,255948,260226,247301,274175,273318,271115,270026,285477,269988,251256,260491,285777,273169,257995,272215,278727,275659,285175,281300,273728,269664,285653,301831,280606,274442,266933
KY,153635,153410,169687,180892,187832,191777,205416,214533,232321,247884,261341,265443,284282,297055,287068,288098,302855,309564,333814,342198,324017,323231,318534,332803,337644,323387,344232,358877,386223,404451,379595,378096,393921,407849,405793,421760,396465,427334,424989,440965,441204,447959,463106,448255,484232,475522,471912,492681,457295,465287,472721,463796,443518,437880,450114,462212,466146,470715
LA,256944,253709,255773,267091,283681,311121,318865,340713,358477,385716,392151,390660,425494,474451,509274,511108,546644,585309,588509,581423,646701,661774,580654,599636,598755,585795,661328,652242,694276,693330,690577,725553,725759,723706,764496,764497,834591,801675,781167,776300,854208,753034,775051,771809,756428,716379,769679,708605,672475,667212,711313,712848,655237,657486,644196,695549,716026,776884
MA,220223,232639,242221,252038,254929,268600,271133,290677,313736,324262,348866,362542,379915,391349,371093,369400,380724,385290,386801,385655,358305,359128,362384,362472,370142,381532,389179,403559,420664,420228,406705,389293,386608,391001,394318,401524,419265,425542,425974,437874,452555,446659,448348,447334,473407,484687,477848,485588,478693,442887,445371,447999,437660,452542,431898,445559,471549,458156
MD,172937,172669,198195,199643,207162,217118,229080,225512,248291,255378,273132,273569,289740,303286,296987,297309,310253,321158,325821,318501,318826,323669,312847,305649,308196,317632,325874,338551,351166,360646,331344,336632,344063,342224,343241,348943,357932,368560,379085,399931,402620,404584,401192,416829,439190,457080,463331,457311,441162,457372,440247,425404,422779,426806,418131,429445,416254,413017
ME,66698,70106,70398,72081,71079,68812,75656,73728,80026,81208,87633,93187,108008,111181,96675,92405,97198,98683,98767,93555,83348,82477,85807,83798,89155,94003,100742,108321,122448,110119,115386,105823,104061,105456,107390,101923,105327,110610,107844,111710,119837,107042,121962,130778,121259,130704,130715,125025,116389,122071,121969,120644,114878,128052,129213,129139,131160,123187
MI,387291,388670,405877,429765,450804,467377,501020,526853,574018,606128,593490,607502,660210,688431,665594,660805,696664,712202,724044,690809,620136,600307,567289,577010,601213,614673,634968,667095,692249,685553,683927,695926,701060,738727,741775,760951,767783,782989,801136,837783,815944,802819,824625,795704,805637,802762,797393,788198,739586,723024,717801,701435,693389,725661,717505,732880,741472,734811
MN,181361,182477,185949,194347,197456,207273,221296,222770,244657,260291,274085,288738,302868,322903,317686,319516,326930,330760,348762,359554,331579,317753,306687,310839,340655,333044,336886,334133,348749,343924,339237,358208,380355,401059,416902,433207,443367,440457,463324,495464,512778,501501,511500,513689,528665,531930,521036,524830,499949,464257,468864,461769,468358,447815,450452,445906,467516,461277
MO,253774,255857,276089,282147,292306,304630,305174,322431,359165,370069,390887,403843,423903,428118,421345,424725,444349,456659,468827,446792,410564,399232,404843,409781,420918,430001,449790,459201,476640,483578,477139,474217,491151,505757,520023,539983,566688,578783,627741,620735,555297,555043,570918,593121,576776,590446,593859,600283,573219,559769,563850,553819,535903,541520,552519,551126,557469,551059
MS,129284,129426,141230,153210,157763,161776,168991,176286,198757,210252,216001,228125,240855,251348,246921,231074,234643,248691,258179,258528,260868,257914,252704,241494,243198,250723,269475,294124,308474,288807,291495,315059,327507,329774,331430,335696,340820,350986,352206,370166,359299,348205,354453,376131,363544,356654,376085,372075,360478,356042,361958,354414,383768,368113,380124,391014,435344,443555
MT,58237,61779,60378,58193,57799,57766,62119,56816,61677,66235,68133,71279,75979,83795,85511,82156,88270,85826,97496,91657,88911,83829,80847,83360,82805,81484,81233,82080,84305,82922,81965,81075,87906,90766,94515,98500,97001,99053,99527,103986,105831,107459,107756,102751,110572,117876,120837,126800,117735,112325,115784,116836,113891,117502,112938,111539,115083,116586
NC,231966,243042,249869,264626,274217,279390,295241,307337,328939,348128,364046,374922,399104,426207,426363,423769,442970,463617,483389,480386,443752,448448,448510,468538,478735,493450,519831,544494,575667,549735,537113,530406,539320,559650,579176,601138,638394,649491,664594,679167,702536,692564,700765,714563,735463,748741,739423,757860,755994,699760,702296,682971,670931,722737,722964,709692,721922,724870
ND,41695,40677,46790,47514,48313,47312,49886,52606,57642,55525,54265,58251,60802,62694,60288,63051,65875,70600,73158,72991,72472,72620,73199,69206,70543,68752,66907,67693,68573,67317,65276,66390,69684,73265,72715,72855,74552,75700,66695,81957,80608,87878,87632,89080,92114,91928,90931,102882,92627,86887,100661,116427,132365,137887,146647,136126,123040,130810
NE,94221,96624,101163,108334,107127,102134,107674,116443,129823,132426,139324,142822,155550,163493,153188,149936,158184,168375,172968,156116,141002,131799,135509,144332,141399,141050,141525,148017,161225,153416,151842,148328,154150,150645,153903,163477,177952,180913,188843,194152,172532,162360,167050,172414,173702,172620,174329,176340,176044,176671,205042,198866,192474,193830,201230,200125,200878,202263
NH,33680,35122,35657,36650,37780,37345,40709,44988,47517,48630,50712,52923,55069,56834,56615,56621,59805,62329,63585,65314,57873,56210,56118,57206,62668,62955,68908,74832,77318,76524,72989,74312,73745,75190,77427,80643,82930,87422,95884,99555,101593,101736,113403,106261,108866,103934,103900,105613,103219,102839,103506,101186,97937,99175,100179,99986,100214,101713
NJ,337963,330040,364887,383318,399704,399654,417863,438642,463980,465609,493154,510332,556375,558985,528765,519476,549119,549897,568612,552362,566345,614972,714750,764809,797550,796824,826257,840590,803708,827139,798468,808034,811413,770221,843798,857721,827609,837094,849856,848821,905828,881371,888623,869487,901058,974145,977505,1027894,1034244,885443,909683,937132,828272,852357,865328,854467,848923,782539
NM,91495,101786,108739,111915,109081,114959,112959,117206,128538,133432,138476,142560,159294,158879,160039,158105,163095,164222,173990,173599,176352,193266,174915,158784,141950,163649,170061,177792,192216,205982,230438,225511,211705,223530,213109,195058,186613,233533,230985,230756,226271,229926,225528,218312,225693,219046,226587,217235,201124,197838,193806,199808,199892,200787,207711,210955,206951,220115
NV,42128,46495,52523,55192,59623,55891,56519,60568,70357,72607,73099,75199,81261,88446,87395,92134,96458,102370,113267,113529,116207,114936,113046,115444,110017,111173,115443,126816,131203,132861,132736,138198,141152,146016,154154,161155,178132,177800,183785,196380,204781,205057,208479,214561,228030,237968,253145,255853,231253,210142,201416,193533,201685,207386,207247,210843,221510,227999
NY,802177,820831,817509,837512,859258,884555,930721,982928,1017671,1076023,1099019,1136017,1133198,1185048,1069501,1049817,1108583,1094924,1102679,1088838,1027299,961488,862622,789318,724758,845257,861713,909932,869081,875391,928514,903106,880515,894615,883131,910661,952322,951470,958957,966436,970721,967574,989496,1058368,1102091,1067184,1088709,1087290,1085216,1063151,1065366,996434,1025664,1032608,1098542,1073841,1125715,1124459
OH,485493,476797,501851,512757,532759,547122,576526,589622,627103,652900,673840,690829,745120,775901,752314,762081,799419,815838,837782,814962,787398,763821,735877,738033,749609,758279,785434,811202,818503,824533,803335,794141,787535,823203,838443,852959,884372,914017,930725,958078,984861,977913,984590,992316,1014027,1011941,1019682,1026389,981431,923294,938539,927864,901712,920228,933534,932182,921353,926096
OK,150704,156466,164839,173978,177495,181452,191749,199061,215738,221482,241452,247329,262416,272534,269250,278451,298112,312494,320848,318780,308459,330085,350617,345022,345747,340783,324441,331045,337054,356262,340214,348184,374952,363564,376090,359989,381541,375036,382455,400473,425637,465099,435095,444952,411992,437937,448782,458193,460953,442449,456982,454233,447359,450437,482819,477424,482176,482769
OR,111092,115567,119261,122235,126944,133578,146168,151597,171929,175449,182682,191250,206121,219989,210357,213818,226422,241437,264161,271247,239648,249758,250383,236388,231840,241257,246074,263025,281176,284161,280247,301178,304258,292801,301280,297069,308014,310821,326156,329104,320055,306263,312389,310220,321750,329924,337401,343191,322961,325672,316750,303002,298043,299026,302597,297968,300094,304735
PA,536168,515926,531989,554444,566324,571422,593192,628075,677980,688323,718209,746709,799257,813335,782659,769383,838237,857195,866872,850573,817752,776148,729931,741976,758211,763291,793230,839104,870488,819936,842526,839995,856830,877796,886358,901532,896237,933721,956910,967834,998634,995553,999563,987793,1016140,1032914,1026805,1020696,970787,963085,959374,933644,918038,910564,908471,889221,900746,951284
RI,61311,53281,52092,53405,49676,53889,56047,63794,59019,58304,63334,67447,65334,60210,58376,56998,55344,55427,54546,54400,52167,51201,50621,50925,54087,50730,56422,60804,61893,60866,57830,57997,56859,57039,56070,57906,58610,64938,62809,65366,65131,65689,65009,63893,62102,62107,64636,63733,60467,62352,62637,59857,57086,57621,62054,61236,57961,59726
SC,126208,129567,142484,151254,145094,147298,157498,159278,179569,185719,198589,207758,217321,234328,229943,229440,245155,253229,265931,263808,248132,246357,246668,252018,263410,265569,274879,271519,298884,289639,308567,318063,306881,311468,317872,318370,325962,340229,359539,370957,378736,382120,390043,393773,447801,426680,445619,443488,433616,444725,446872,441535,431701,452325,442784,464658,476978,483162
SD,41074,43017,45861,47646,46663,45202,47210,47932,51664,51576,53555,58358,61204,61434,60379,62018,65702,68191,69568,70279,63204,60032,61601,59941,61918,65547,60615,62356,64623,64771,65961,64087,72993,73241,78214,79805,79338,77445,79996,83197,84690,83073,90606,85121,86413,88185,88019,91783,87004,89551,93902,93870,99324,95816,99122,100892,100805,97924
TN,174077,189698,201900,215915,221891,230861,248978,257828,277502,296060,308383,325418,355659,388248,380946,390255,406098,418416,443273,450307,408896,408735,398310,396071,426527,434200,465660,458225,466234,477732,466321,440683,460344,485213,499428,523840,541591,546093,556279,574004,583020,579882,613264,629661,630170,644878,647880,650596,610784,595829,615801,615259,595096,595873,610107,618293,635786,636823
TX,797674,814156,835629,860535,888456,919609,950843,1002771,1096279,1159513,1212068,1258232,1360829,1486367,1509541,1562028,1614344,1728153,1826422,1880719,1802055,1826225,1883216,1880769,1960057,2027528,2073455,2032666,2146110,2150031,2155244,2103266,2149543,2135807,2196665,2165210,2338883,2402624,2524156,2509783,2563182,2674400,2768507,2669713,2697751,2721779,2851550,2880468,2797153,2690325,2756959,2776717,2793580,3073171,3079998,3145471,3264336,3370319
UT,64511,60626,65915,66515,66941,70642,78749,77711,83491,87960,91544,98351,103196,109665,112423,113847,116248,121394,130166,131650,126763,122808,121883,126099,128479,132132,141909,146203,151122,143100,148687,154513,157455,163603,166811,181276,189839,197637,202063,209020,220789,212263,219779,223907,232654,236771,260455,259825,240165,231534,230992,247705,240520,250768,247303,255118,260823,261342
VA,290155,271498,279501,294215,309745,332226,349062,376536,389886,421502,446103,469468,484381,499236,474824,467402,489360,501276,513382,502950,481837,483877,466129,476856,482494,502788,531531,568798,600423,577259,583591,569493,565621,574947,586925,596477,605199,623588,633798,646507,682807,683981,688133,715464,769916,781507,804254,805854,748675,727578,725379,699445,730665,732028,719077,696352,700802,701470
VT,19285,18903,19451,19720,20186,21156,22648,24252,25602,26604,29255,30302,32532,33907,33188,33366,35461,37970,38017,36867,33912,34053,31745,34097,36467,36959,37654,42609,44201,42008,42074,42481,44946,47312,47859,49731,51665,50799,50106,52481,51827,51850,51046,51872,53303,54010,54203,53287,50567,52083,50580,49250,48150,48977,48361,49024,49482,48223
WA,180038,184221,191597,193702,200152,206180,224455,248016,282703,290040,291220,298120,302952,329185,329110,351939,367996,378496,406593,437458,416128,405573,379973,366349,392840,414170,482626,497334,520178,561297,570953,579676,646075,592504,609438,633482,622537,638506,603390,614728,626418,599282,583807,585178,603995,612585,628159,666237,606223,597353,589921,588047,608285,595213,585470,625966,699573,679055
WI,179925,178398,186286,193358,198182,202452,215119,222717,238768,254799,271267,283044,300747,313343,311658,318552,332023,343009,360252,354661,328937,320729,303312,305153,304796,311118,317003,319153,341123,343688,341152,340589,346888,356002,379489,387380,395039,397553,416933,427108,419128,420889,426091,419951,436722,435626,438924,441474,431422,421675,431659,415919,414983,412289,444304,438591,434247,425860
WV,84624,79495,80104,86105,89808,97881,101521,101783,108551,93096,108454,116907,126479,138959,135849,139406,142708,151070,154215,152872,146605,143411,137495,147345,156917,155590,139565,145124,149467,150231,146864,144778,159657,165632,177018,177819,162736,176591,184117,179513,185760,182821,181997,170236,179100,180371,179196,177321,160186,166920,171371,165469,174363,169280,170034,173609,182452,171852
WY,41322,40098,43961,40499,39029,44301,44954,54471,54341,57799,57405,61918,61663,67768,69252,66067,71190,75273,85116,87482,88441,88739,79562,67063,68415,68801,63799,77408,83531,84494,81244,75947,79985,84504,83152,95893,95955,97960,101099,115332,108883,110782,109861,121103,115094,119070,122375,125753,123779,119925,122143,112426,117925,113755,119054,112382,114069,114749
US,10596612,10769305,11219665,11655060,11998948,12434010,13100740,13751510,14864713,15504735,16094212,16725986,17716191,18615342,18119371,18245049,19101169,19822842,20619378,20472501,19696846,19515225,19090937,19176442,19655350,20089174,20790496,21471276,22319319,22478541,22422839,22119439,22417603,22675111,23321633,23817786,24424486,24734965,25228217,25919802,26520514,26239207,26809787,26886685,27832318,28259261,28676728,28785874,27404982,26613081,26991761,26600029,26128083,26615157,26874426,27243800,27790461,28019983
