State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
KS,266789,254644,263866,251403,268442,302277,335555,287362,318509,331161,338421,358043,377643,394301,386299,350948,380003,399200,408985,510159,414093,368489,359325,331872,418538,401023,372365,402013,421355,400065,414403,409313,428472,420816,468668,397946,397064,409088,387656,397145,394806,377316,387246,403557,402465,356551,380278,429735,379234,351942,370861,368194,374987,370711,378198,384001,386129,387525
KY,482537,476140,473390,504552,506536,503506,495299,501983,511239,526058,529710,538289,606684,613636,612605,633944,689836,669798,633524,661486,613018,559810,525908,514256,600056,578108,528494,546440,567873,625264,642381,629784,684133,684891,731309,758474,784439,761045,729158,763978,731241,769639,856487,820715,854910,860877,881812,882107,885164,823169,843369,818902,822925,716427,664838,641706,613056,598457
LA,1067979,1122275,1128300,1268149,1349757,1293186,1404053,1599081,1735161,1957500,2047081,2101771,2221317,2379819,2432554,2159819,2538838,2847770,2970192,2822813,2701016,2693871,2460940,2333849,2447683,2215593,2311014,2400370,2396315,2539317,2616290,2573294,2695963,2743616,2832484,2850643,2946787,3085965,2800763,2812121,3002757,2628873,2711053,2591045,2799910,2658746,2851965,2945520,2937594,2738357,2880050,2895500,2852596,2787167,2826303,2794776,2901028,3123142
MA,295583,295678,297169,279358,306648,357701,372826,375115,378190,371798,372902,361750,367041,372829,330132,290890,308507,303227,300005,257710,207008,229093,219361,234074,254192,255708,287386,280554,250198,233466,221879,212618,238600,240324,223518,221302,220559,216976,216407,235584,238452,244359,245912,191150,188481,187956,186547,180817,165186,235762,248317,249307,249778,250417,165684,163502,159119,154862
MD,307727,301913,315394,329635,359227,375218,389792,385737,396927,423741,426631,444281,434307,496416,426045,367081,414956,386932,394618,449709,388560,391532,354279,366856,421952,396235,391549,411781,416937,436595,428957,391468,363850,376387,360929,253925,261003,279681,259872,252652,254499,258339,377303,437541,382450,382367,181997,181135,173061,149779,144500,138881,126560,111051,114947,113265,110038,108433
ME,85245,84766,77205,74563,84481,74417,83322,89779,92974,103584,107649,147836,151911,149992,141240,112979,143850,150076,142700,139432,174867,185376,227027,200117,210626,202571,203984,188780,207933,212163,192551,206950,227495,225673,234770,221749,223000,220773,191670,192704,212062,186763,179322,143870,158420,152032,153406,157167,179476,136646,147982,148898,146939,143856,133167,121923,104877,103705
MI,804612,802800,844509,903181,941725,1008281,1075110,1066524,1106760,1130060,1077018,1107882,1163727,1207380,1088638,1070541,1133897,1087296,1091564,1082685,1018224,957579,853451,856310,904616,925056,937033,851503,939495,924466,1001689,927466,955481,822298,854974,895762,922256,935423,910980,973071,950988,867119,837086,903454,864890,865404,819613,776931,733941,610060,688919,711614,710863,738156,751957,717376,701561,716143
MN,280496,275230,286293,286607,333172,345845,359694,335794,354721,404218,396190,413801,439234,477202,445074,444797,485892,466499,508651,522369,446000,419563,394596,406303,425328,429648,430746,457138,485912,504837,534893,524117,540268,546921,562134,596725,621635,621502,615840,624408,631787,528428,538612,563321,584889,577018,581573,606024,633281,567476,653717,654974,649242,645476,671939,613483,618670,628062
MO,299965,296574,305797,315124,330516,363679,383614,371081,390119,404642,403505,399244,406091,439712,429361,410160,396958,406923,405335,403502,359881,379565,348993,325333,331026,346500,321368,322317,336279,325948,319950,311459,318330,332029,351808,355632,365172,361548,361651,392924,365174,385256,381826,373473,400281,424949,434577,432145,398797,344103,366796,350898,355803,355057,364482,359075,304086,301256
MS,155193,160880,166894,184253,211521,213738,245505,249381,272343,287010,317413,330626,347267,346754,322596,307383,309395,320271,328092,332192,303069,294566,308515,322271,358201,324329,314909,309991,338582,384747,439270,438562,449513,448469,450881,457733,460486,436692,403958,471547,465985,408523,413138,417768,445519,420232,440427,445591,410300,375076,412633,410214,417349,400473,399672,392793,384131,401671
MT,105796,114803,122386,128563,135239,129693,141675,129166,144394,167234,166268,170947,171989,167573,174659,159461,171764,170276,170267,189514,167668,153639,125607,126723,136957,151949,145393,144805,148544,152822,152778,154945,147575,151792,154398,169114,167701,139662,167863,173353,169195,116817,134367,130815,144924,150378,163539,187098,175204,146844,127705,121153,126562,127154,126941,126921,122613,127239
NC,301423,313546,331008,339504,365726,371267,410337,424716,437854,458997,477918,505424,542432,566614,539649,506443,552498,575382,568829,630974,599344,566764,533013,567448,617062,604644,625966,642522,656299,678406,706439,672005,733050,736816,750467,787086,772706,778065,758683,732489,745275,714601,681549,668683,665711,652932,638274,609631,604560,525472,571829,570525,574013,568995,553184,556050,556459,562286
ND,74158,70643,71983,76616,77439,74785,76576,79397,78440,79178,76684,77453,77659,77430,74906,72294,72272,68923,75064,78001,66396,83630,74385,78728,102943,140242,150113,156388,151647,161174,156788,160360,169767,165692,175063,176083,169129,176326,179876,190003,191947,202432,190275,188466,188658,195414,205376,207353,215884,214160,244187,271840,283367,298540,336970,320378,310382,343307
NE,92922,94220,95326,95634,101513,98503,122769,98488,109148,116411,127089,127703,128328,146445,153503,160513,170178,164553,164179,169017,147485,131909,124546,123572,124196,122299,114813,126322,133212,135591,133620,132875,133370,149527,160113,173131,178753,191549,208719,199284,202797,206250,209241,221267,235074,237171,252798,280398,308283,304593,351734,367974,382089,374909,363817,368045,384598,392381
NH,29997,29909,34359,35665,37373,34485,45070,39203,41914,51567,55765,62215,65626,67350,60383,57500,66547,69225,66740,58504,59067,56169,57144,59808,67253,70835,77897,79676,75631,66854,70033,58643,67293,64556,51211,51727,56206,53401,51169,51729,57735,53231,47658,52032,54108,51468,45917,43603,42243,36822,39218,40228,40006,43057,43177,41801,40790,45858
NJ,486441,508910,546138,543734,548945,563738,600329,623270,640196,656900,660791,622244,639126,663854,609365,543483,601536,592532,593236,665181,589792,543479,511878,483518,510648,461671,458464,482289,476353,469159,439477,442387,511879,546765,535281,547337,532637,552792,531891,565336,409573,440250,423728,394365,385100,389538,363917,366885,316758,263180,271318,276944,274954,271465,259399,262775,256658,256821
NM,170471,166032,190747,179212,172906,156207,171776,180302,190186,179152,193607,194428,203623,196531,191573,180582,200208,178903,169974,168658,164698,150091,155171,166132,178103,154370,134690,152317,148966,155203,191281,186855,192674,193130,195039,203331,219692,205974,196216,194499,211093,202456,199567,215036,225387,222191,225722,250590,229480,210927,214496,223188,226006,220834,230241,226406,223881,229234
NV,24147,31859,31164,32075,30302,30511,38408,36111,35041,38967,42616,44515,47530,51226,50674,46470,55075,54488,56738,76312,78691,75741,77734,85384,71574,68675,67323,74689,83550,105297,110546,109896,118380,125551,138559,150885,155420,157571,164260,163590,163509,166972,156390,164148,177089,186470,195343,186773,182110,171166,173186,164970,166584,170586,182930,164308,172275,172129
NY,891279,951036,1032450,987965,1042081,1148346,1200590,1162111,1165850,1198906,1195699,1093206,1061060,1141596,1079603,950139,1062754,1061424,1032486,1043767,925491,870477,801164,739038,737691,733503,671637,698411,726313,714484,710217,690598,721881,710132,696627,693649,720460,706468,681494,622648,604269,563422,535773,496321,501709,495240,423781,462574,398767,358769,359590,365359,356782,395685,395932,398459,390140,387816
OH,1617838,1522666,1590361,1641646,1720540,1805714,1883175,1834028,1919063,1971063,1978044,1873604,1998903,2071776,2060515,1881769,2001012,1997527,1999723,2123424,1827656,1765368,1461132,1424585,1553682,1542554,1447165,1505046,1549556,1609599,1575099,1506727,1558030,1516156,1619660,1611771,1620079,1613914,1579164,1619227,1582311,1412472,1301061,1318033,1322030,1313298,1282254,1329406,1326699,1113068,1228289,1219957,1218787,1207608,1237639,1209819,1200199,1196651
OK,255039,253897,344280,399587,420001,383669,333447,332114,369133,388945,398720,415826,425551,420974,454276,446236,508474,526431,547571,619032,518665,514775,528019,520577,542392,522970,474644,527320,519003,542012,577766,530694,543657,569530,568197,556123,557367,568251,542259,527071,518259,500713,482350,511291,543310,555567,587204,571534,569032,510700,549874,561441,582226,591611,611551,603754,616963,637353
OR,193040,200336,211244,214239,241018,247329,262685,265873,277992,289983,293229,306142,315137,317478,312322,324362,338385,324444,346850,344079,352650,362316,316116,308916,359007,314395,310900,338494,351538,331239,317450,315030,317841,314406,318231,330790,354543,359917,352756,352681,338377,277569,272566,253904,261734,271810,283113,271861,267592,233883,233874,245348,246777,249822,254661,256131,257455,261361
PA,1717412,1639718,1714908,1819392,2006269,2119568,2167778,2090799,2141703,2117079,2159132,2030360,2080234,2165331,2103058,1895933,1982643,1922189,1892396,2042360,1823238,1689165,1330790,1335767,1486752,1361750,1257655,1365463,1419125,1426146,1420903,1325291,1374702,1376216,1404590,1434004,1423436,1418761,1308391,1262801,1281774,1268224,1256350,1266785,1287370,1268499,1262958,1253614,1239112,1058054,1164670,1230611,1229261,1346009,1421717,1375914,1321056,1354555
RI,50515,45866,53260,51445,58135,46916,47730,47234,51549,56467,57797,61162,59029,62528,55038,48034,53238,60015,50867,43721,36823,34577,33368,33716,36838,47989,39596,42091,42868,37878,37295,49621,76952,34621,69036,60069,47042,43220,61271,52041,25305,22836,21701,23906,24144,23866,23542,20887,26777,24899,25010,22130,23133,25748,25258,24537,23297,23037
SC,215963,229843,237502,248837,251322,251659,271103,268679,280251,303979,323031,336197,373724,387117,371786,334937,392210,407119,394711,414133,415468,436287,394629,415083,456116,457023,492010,516100,535394,537497,543143,549950,570777,584979,591668,614183,620725,668130,655396,639237,652688,614540,627713,618984,640034,628907,621277,595268,564882,505756,528816,538250,536782,539036,554258,555953,527840,535772
SD,39016,38013,37615,39749,41197,38543,41439,39101,38599,40672,43574,41783,42097,43238,38664,45699,49500,48894,51019,54510,49518,44854,49672,46221,42327,41914,50067,50459,54414,57837,58233,55215,55596,59893,60154,58437,62871,62650,60346,65150,68919,55924,63149,70780,81807,91182,97586,109341,130713,138684,150462,151411,149387,156017,157163,155233,153435,156751
TN,531078,525265,527870,554937,570882,598142,647088,632299,623025,629132,623505,602387,654452,749214,732328,728164,805501,792035,723286,750785,709949,694277,611165,645907,741640,721549,699094,700886,735155,732537,724348,731668,815716,826919,846596,858308,866074,673165,721463,730810,725514,750729,729966,733021,746298,747047,746883,728411,713425,579303,631171,635920,630764,582349,598033,578137,590559,600138
TX,3056168,3069702,3165107,3345982,3405389,3551653,3807968,3977727,4201384,4419534,4567692,4771282,4957040,5393950,5242930,4620408,4853219,5214961,5468165,5667886,5892280,5623971,4798840,4684517,5057733,5011345,5005719,5214395,5599184,5756248,5921546,5944286,6098777,6125668,6335180,6450296,6955567,7220696,7175851,6827063,6923032,6641225,6767300,6744464,6824169,6127421,6145022,6006813,5489032,5161079,5758934,5807811,5996535,6355872,6303981,6462092,6562290,6754405
UT,167479,163365,159126,160875,175674,178614,182390,170970,180909,197767,194466,192545,200450,215329,219873,221179,227639,229719,230565,234424,217064,208561,186138,195685,195717,180631,154872,144005,193780,207104,207583,213313,205750,210126,210648,242240,247559,240340,260497,231989,252224,224263,180291,200251,208432,226975,218136,218417,216744,200625,210265,220813,235268,243440,236043,227426,220951,222101
VA,288114,300076,308322,335755,346812,382880,402896,373728,388955,374262,357919,361250,373891,386865,369513,349615,370640,381399,379118,421876,430382,422606,412642,434833,470301,470400,475357,492135,500584,519473,543923,534544,536521,531999,552647,565765,564356,566155,574545,583358,576248,539343,516831,539088,561089,570243,546570,545592,519287,445328,450695,447643,447217,447420,456922,451643,441217,435046
VT,13958,14572,15006,13874,13157,16714,19416,19714,21250,22603,24114,25713,25494,26466,23871,23286,30859,27854,30569,30108,32654,31776,32186,33149,37012,38149,39101,35336,36179,31206,22400,26502,26019,23600,23511,22997,24006,30389,23133,23555,26922,26127,25262,24309,29104,27698,27742,26619,24127,25750,28476,26619,21982,20411,20819,18051,17683,18603
WA,386631,396088,417552,447847,480153,508332,533125,555263,589270,637818,617172,614004,691907,690769,693539,639020,651858,649861,689015,670058,664235,720213,624596,624010,699960,637915,655018,692056,762596,754624,783793,749753,755824,729731,730020,730568,697925,716600,818451,845557,732592,507738,427997,446322,470652,513422,560598,509635,526053,525337,578523,583181,581675,573525,577367,564456,553000,535229
WI,334411,340594,356920,375502,406142,430715,452709,461496,478387,494694,512536,498172,482237,512866,485791,472190,474052,520722,527517,505980,562702,558090,541934,554001,568581,580789,531263,527852,560785,542207,533975,541385,548177,576470,602019,625650,642647,673322,659140,691607,710341,688937,672528,661985,686164,676450,641481,635243,617254,554430,594515,592800,579108,599691,609573,590770,585513,600421
WV,413645,447628,447447,470090,508546,523530,527927,488647,538541,536771,523273,492462,517070,520396,516121,461867,491858,465193,439751,449937,425200,406462,359575,323696,349113,303083,318843,326048,353175,365968,353244,318969,311725,317703,332815,326047,307433,297804,322733,296555,302052,299400,324162,288926,299336,286164,319185,339520,339309,255010,284432,290041,287013,296144,319726,320526,312016,333232
WY,74670,85753,98815,93877,92080,93085,95703,107684,125533,140335,142633,147770,158428,161228,156397,162951,180051,198016,211656,228738,218912,206101,207951,185824,204687,207599,196046,213693,211956,222986,243493,233657,266839,239665,244723,226760,231445,234798,237152,227590,231528,237967,236194,246370,241228,239110,254584,289111,301164,294016,308552,328895,324181,314348,308000,284872,281572,286055
US,20799142,20911596,21744102,22723720,24074837,25059309,26384869,26638484,27880000,29084702,29570866,29526268,30911095,32635711,31752143,29404665,31382672,32255385,32700049,33900000,32043413,30716590,27578766,27380370,29518094,28820137,28258580,29339446,30678444,31291811,31776520,31351097,32532195,32584545,33507037,33974730,34900337,35269379,34773078,34671616,34614822,32636281,32625283,32527819,33487054,32446798,32382387,32385349,31333158,28448405,30647103,30967843,31048199,31586186,31767109,31423540,31301840,31873320
