State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Energy_Type
AL,HYTCB,67128,71851,79605,66918,91651,74247,72135,95334,76753,78511,80092,104114,106211,122622,108270,127086,98111,108046,81781,122863,97733,63113,112184,117458,112730,71935,54848,77855,55575,137211,107832,112268,106109,93134,117903,97980,114587,117660,107730,79350,59346,86346,89775,128232,106432,101436,71930,40881,60466,122345,84919,86313,70754,123071,90030,91902,64484,85103,Hydroelectric Power
AL,JFTCB,6051,6148,6897,6915,7134,6238,6428,7722,9872,10233,9904,9815,9371,9274,9407,9427,9143,9807,9929,9468,11305,9717,8740,9087,20699,19700,21001,21710,10363,11362,10551,12641,11695,10975,19608,21763,19886,12379,19985,11129,13312,13283,12797,14564,14481,13982,13113,13162,12299,9887,11948,13350,12436,13223,14212,17838,18025,13647,Jet Fuel
AL,MMTCB,129110,132285,137703,141715,145771,151910,160617,165829,175237,182627,194376,205214,217389,229524,231737,237297,249323,258336,266404,251695,232689,226025,225597,227872,232118,228380,243991,254946,256072,259959,258441,260166,265828,269689,276050,286661,286248,289542,298450,299957,297298,298895,319416,306425,320245,326235,328915,330158,315474,309512,297290,288796,285752,287906,287439,299893,308789,304087,Motor Gas excl Ethanol
AL,NNTCB,190706,191533,201250,211348,230316,236949,240755,262055,296690,310822,307750,294838,287100,279958,282454,271747,232758,248715,244969,291485,278342,281022,253391,229993,239598,227780,210226,214611,243192,253577,252128,261476,287947,302250,299250,332399,337764,337431,341973,349076,368472,344004,389965,360483,391927,363398,402044,430649,414260,466272,544405,609288,677380,625869,650570,701582,715033,681516,Natural Gas
AL,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,70195,29978,46557,210228,249788,240321,256310,260780,306734,274203,262518,152028,122308,117450,137623,121962,127533,166430,203111,187216,214054,218045,312018,310336,300698,322826,327143,317019,332650,330137,329898,330761,332992,360036,407551,415392,396557,411822,427975,426488,431368,438728,417334,446097,Nuclear Electric Power
AL,P1TCB,30162,32801,34215,37258,37411,41023,46045,42415,41376,50196,48707,51195,54155,57293,55572,49474,51393,58513,61912,56805,53591,57964,61346,50538,49819,49656,44379,57929,55288,51574,47982,54157,50705,51253,52768,51694,57554,56699,48304,49736,51644,50770,53152,54266,65642,70317,68174,60476,58926,39846,41119,41803,40876,36067,34991,35921,36394,35731,Other Petroleum
AL,RETCB,112809,118021,125564,112682,137992,121888,121238,144384,129673,131856,132471,158182,164946,181706,166734,184701,160994,174751,148341,190737,238766,213355,265548,282179,288127,248632,215783,233511,216597,304351,253287,257202,257599,269514,334002,322116,323721,300020,317349,290232,263303,252817,253570,284700,293216,279765,266305,228635,237119,273619,265515,277845,263335,332379,290635,280131,252502,275719,Total Renewables
AL,RFTCB,26983,22761,17293,20149,14257,16049,10791,18449,17610,21786,20684,16690,19729,38394,64914,81434,89551,102475,93941,64414,45872,29170,38476,21803,17023,14140,15489,15315,21643,22871,24616,22213,24290,25185,21256,19551,19828,15980,9051,9186,26590,9538,25080,8075,10680,11175,14199,13585,13593,7079,10308,13353,11458,6944,7726,6843,11940,11050,Residual Fueal
AR,BMTCB,37433,36290,36441,36729,36860,35134,35169,33309,33739,34698,34264,34682,36857,37551,36739,35870,41325,51062,52002,45832,52390,55336,55633,60540,63217,62928,61844,61608,63792,86235,71100,71732,76481,85912,82506,82964,87771,86884,81960,82147,83466,66816,72938,80378,75878,81287,84205,88493,79111,88519,101522,103676,101463,102209,102765,91836,88961,87835,Biomass
AR,CLTCB,356,275,160,135,186,163,111,104,132,0,0,51,50,2262,2665,862,3578,5244,22833,31728,36648,101935,125193,177458,163879,219791,224547,211011,218821,203343,212707,215945,220706,200450,222169,237334,260060,246786,254658,267022,267579,273982,255242,253653,270210,247169,256907,275037,278849,264083,293689,306119,296732,327099,339214,226889,246437,267591,Coal
